id,label_id
train_aabeeyfurc,0
train_aabetrttaa,0
train_aaccolapwa,0
train_aacoaahwdb,0
train_aaczjqfhfk,0
train_aaelnqhrbe,0
train_aafqvlshoy,0
train_aafwikdcpx,0
train_aagxxplhgx,0
train_aajcphdemi,0
train_aakkehlwhq,0
train_aalwwgjvib,0
train_aamxfkpeno,0
train_aanjdpjkww,0
train_aapajmyxyf,0
train_aaqdsbdkud,0
train_aaqepcrths,0
train_aastrckdwe,0
train_aaulhgcbbc,0
train_aaveiwrnyn,0
train_aavyhveuip,0
train_aawrjnpzcy,0
train_aawwdlieng,0
train_aaxswmxlug,0
train_aaylicmcsa,0
train_aaymonwtjd,0
train_aaywialasu,1
train_abanxammhk,1
train_abaowrqwio,0
train_abbuikhbuj,0
train_abcjwddjum,0
train_abcsvogoxb,0
train_abdcikuomi,2
train_abdjpogcgb,0
train_abdpnrsbtk,0
train_abeiqerdfb,0
train_abeqnskulc,0
train_abexukdlpc,1
train_abfkzijgct,0
train_abfrzfuqcm,0
train_abfxsqitui,0
train_abhvpptixv,2
train_abioeumhus,0
train_abjabgbfrd,0
train_abjlvrdxmn,0
train_abjshaiiqg,0
train_abkhyccqxq,0
train_ablludsrxc,0
train_ablntglsuy,2
train_ablwmavvpu,0
train_abmvxbnqdh,0
train_abnpiwmejl,0
train_abohwgtixp,0
train_abpocwgirm,0
train_abppmnftop,0
train_abprezceda,2
train_abpuhliomw,0
train_abqcmbtrxt,0
train_abqeetcoqy,0
train_abqeyfwart,2
train_abrfhpkwqi,0
train_abrpglruuc,2
train_abrwhyxjzc,0
train_abrzpbxbju,0
train_absyipztid,0
train_abszyzdmmp,0
train_abtagtispm,0
train_abtytnxrgn,0
train_abvcknovzo,0
train_abvjwziwku,0
train_abwlrhoipd,0
train_acawrpvumr,0
train_acbkirulkx,0
train_accewomikb,0
train_accjcvrlst,0
train_aceprjsmvk,0
train_acfvpfvhbz,0
train_acgamvteny,0
train_acgcajyeoz,0
train_acgmrurqmg,0
train_acgnumahzv,0
train_achhhkhzpi,0
train_acjedibtrc,0
train_acjiudzgsf,0
train_acjslbmnak,0
train_ackwdgutsm,1
train_aclczwedjb,0
train_aclsbxixbe,0
train_aclwgpchnd,0
train_acmpgsuhju,0
train_acnybcxtag,2
train_acpbqppwbc,0
train_acppqgyzjm,0
train_acpqeajyjh,0
train_acskgglfyy,2
train_actazxojiq,0
train_actcavpybs,0
train_acuatieoua,0
train_acujmavght,2
train_acuwcxuwrx,0
train_acvylhyngi,0
train_acwkcvtkzf,0
train_acxtmlkywx,0
train_acxwezskhz,0
train_acyothilvb,0
train_adacfgznoc,0
train_adacmmwvqx,0
train_adaxphyril,0
train_adayprucoo,0
train_adbryadyzu,0
train_adbvdwjlhg,0
train_adcceeqsyx,2
train_adcyyorrjy,0
train_addbfdkknw,0
train_adejfmdtop,1
train_adeogjboso,0
train_adgidzinju,0
train_adhekmvyrn,0
train_adifvpfzat,0
train_adjunsqebq,0
train_adjylmvtzr,0
train_adkbplnoym,0
train_adleodcyzb,0
train_adniayibfh,0
train_adpawgosfk,0
train_adpxouuckx,0
train_adrurskdpa,0
train_adrvnzobfu,0
train_adsfxuobkh,0
train_adsmbizull,0
train_adspoiiwhl,0
train_adsxinlunp,0
train_adsyezaaut,0
train_adunnwhttt,0
train_advhyhiztr,0
train_adwfveyfqh,2
train_adwnucqzct,0
train_adwygdltfq,0
train_adxybtmhat,1
train_adypnvaoif,1
train_aeaajktlxf,0
train_aedocibmky,0
train_aeeeviaioy,0
train_aegibvzwxa,0
train_aehgddpjfd,0
train_aeikqevdgt,1
train_aeldaatrgr,0
train_aelkepzgqw,0
train_aelorjspht,0
train_aematrdybr,0
train_aemizgjzfy,0
train_aemknryjci,0
train_aemooevedi,2
train_aenuoawnzl,0
train_aenxopwjbk,0
train_aeoclorgkt,0
train_aeodtsmpwk,0
train_aepfgjdtrc,0
train_aeptufoukn,0
train_aeqewevcjd,0
train_aeqgbwrcpm,0
train_aeqrsqplrz,0
train_aeszhozcoy,0
train_aetaodcwsw,0
train_aettissjvq,0
train_aevviwewux,0
train_aewkhtsshn,0
train_aewpvkesxh,0
train_aexazlsmww,0
train_aexjmfamtr,0
train_aeyugyolnh,0
train_aezvugsuuj,0
train_afabvrcylb,0
train_afadtjvydl,0
train_afadweuuxd,0
train_afaelsamqa,0
train_afaguwlrqa,0
train_afbbdjwmry,0
train_afbcbljxuv,0
train_afbhlltjgu,0
train_afbhvwrsjs,0
train_afbtmhrrjl,0
train_afbvwsqfsk,0
train_afeiltkvpd,0
train_afeuuhiggl,0
train_afffwpynsg,0
train_afhewhqbjh,0
train_afhmolybgr,0
train_afilyjwnre,1
train_afirukddbm,0
train_afjixllxum,0
train_afjnwqvzax,0
train_afjsyqkcpn,0
train_afjyrrztss,0
train_afjzqbviox,0
train_afkhbkrpqy,0
train_aflbgovbpa,0
train_aflmiahoyn,0
train_afmbdbihpm,0
train_afmfkqbvgp,0
train_afnmwdwctw,0
